reserve_id	category	mechanism	status	evidence_stage_file	current_affected_ms	mathematical_upper_bound_ms	plausible_gain_ms	confidence	exactness_risk	performance_risk	requires_reboot_kernel_assembly_model_change	warm_pure_model_impact	pipeline_cold_start_only_impact	why_not_selected	next_proof_required
R01	dense	fused IME+E2c4 M8	rejected	Stage56 report family or prior cited stage	70.3	6.0	0.0	high	bounded	measured	dense	measured	no	Full-model mean regressed 1.41%	Full-model mean regressed 1.41%
R02	dense	software load-ahead/unrolling	rejected	Stage56 report family or prior cited stage	70.3	8.0	0.0	medium	bounded	measured	dense	measured	no	Backend/dependency stalls dominate; tested fused schedule lost	Backend/dependency stalls dominate; tested fused schedule lost
R03	dense	rectangular M/N kernels	rejected	Stage56 report family or prior cited stage	70.3	5.0	0.0	high	bounded	measured	dense	measured	no	Best 2D arm improved 0.474%, below 0.5% gate	Best 2D arm improved 0.474%, below 0.5% gate
R04	dense	per-shape weight-stationary	rejected	Stage56 report family or prior cited stage	70.3	5.0	0.0	high	bounded	measured	dense	measured	no	Stage54/55/56 full-model no-win	Stage54/55/56 full-model no-win
R05	dense	cache-set/alignment/padding	untested	Stage56 report family or prior cited stage	70.3	3.0	0.8	low	unknown	high	dense	unmeasured	no	Requires shape-specific cache conflict proof	Requires shape-specific cache conflict proof
R06	dense	hot-loop code alignment/text size	rejected	Stage56 report family or prior cited stage	70.3	2.0	0.0	medium	bounded	measured	dense	measured	no	I-cache miss rate is negligible	I-cache miss rate is negligible
R07	stem	compact-K32 IME stem	rejected	Stage56 report family or prior cited stage	9.7	4.0	0.0	high	bounded	measured	stem	measured	no	Full-model mean regressed 8.47%	Full-model mean regressed 8.47%
R08	attention	normalization/direct pack	selected	Stage56 report family or prior cited stage	20.9	5.0	3.8	high	bounded	measured	attention	measured	no	Direct second-MatMul packing selected	none
R09	attention	positional depthwise special case	rejected	Stage56 report family or prior cited stage	2.0	1.0	0.0	medium	bounded	measured	attention	measured	no	Existing DW2 route already covers measured reuse	Existing DW2 route already covers measured reuse
R10	head	producer-direct class reduction	selected	Stage56 report family or prior cited stage	8.7	5.8	5.7	high	bounded	measured	head	measured	no	Exact full-model ABBA selected	none
