path	classification	matched_lines	disposition
CMakeLists.txt	active-build-runtime	9	removed or rewritten in Stage58
DAILY_STATUS.md	active-user-facing	7	removed or rewritten in Stage58
Doxyfile	active-user-facing	1	removed or rewritten in Stage58
ISSUES_OPEN.md	active-user-facing	3	removed or rewritten in Stage58
NEXT_ACTIONS.md	active-user-facing	6	removed or rewritten in Stage58
P0_P1_ISSUE_LIST.md	active-user-facing	4	removed or rewritten in Stage58
P0_P1_P2_ISSUE_LIST.md	active-user-facing	4	removed or rewritten in Stage58
RD_STATUS.md	active-user-facing	11	removed or rewritten in Stage58
README.md	active-user-facing	144	removed or rewritten in Stage58
TEMPLATE_SOURCE.md	active-user-facing	5	removed or rewritten in Stage58
cmake/modules/FindVendorSpacemitOrt.cmake	active-build-runtime	10	removed or rewritten in Stage58
custom_int8_engine/CMakeLists.txt	active-user-facing	3	removed or rewritten in Stage58
custom_int8_engine/tools/bench_stage46_ort_runtime.cpp	historical-research-tool	14	retained outside active release surface
custom_int8_engine/tools/stage45_render_reports.py	historical-reference	2	retained outside active release surface
custom_int8_engine/tools/stage46_plugin/CMakeLists.txt	historical-reference	1	retained outside active release surface
custom_int8_engine/tools/stage46_render_reports.py	historical-reference	227	retained outside active release surface
custom_int8_engine/tools/stage47_render_reports.py	historical-reference	4	retained outside active release surface
custom_int8_engine/tools/stage48_render_reports.py	historical-reference	2	retained outside active release surface
custom_int8_engine/tools/stage51_render_reports.py	historical-reference	2	retained outside active release surface
custom_int8_engine/tools/stage53_finalize_evidence.py	historical-reference	3	retained outside active release surface
custom_int8_engine/tools/stage54_finalize_evidence.py	historical-reference	3	retained outside active release surface
custom_int8_engine/tools/stage55_finalize_evidence.py	historical-reference	1	retained outside active release surface
custom_int8_engine/tools/stage56_finalize_evidence.py	historical-reference	1	retained outside active release surface
custom_int8_engine/tools/stage57_finalize_evidence.py	historical-reference	1	retained outside active release surface
docs/CUSTOM_IME_INTEGRATION_FEASIBILITY.md	active-user-facing	4	removed or rewritten in Stage58
docs/FPS_SUMMARY.md	active-user-facing	33	removed or rewritten in Stage58
docs/LEGACY_RUNTIME_QDQ_SANITY.md	active-user-facing	12	removed or rewritten in Stage58
docs/PRODUCTION_RUNBOOK.md	active-user-facing	12	removed or rewritten in Stage58
docs/PRODUCTION_SCOPE_2026-07-02.md	active-user-facing	15	removed or rewritten in Stage58
docs/PRODUCTION_TEST_MATRIX.md	active-user-facing	25	removed or rewritten in Stage58
docs/RD_BOOTSTRAP_RESULTS.md	active-user-facing	7	removed or rewritten in Stage58
docs/RD_FINAL_REPORT_EN.md	active-user-facing	44	removed or rewritten in Stage58
docs/RD_FINAL_REPORT_RU.md	active-user-facing	45	removed or rewritten in Stage58
docs/RD_STATUS.md	active-user-facing	19	removed or rewritten in Stage58
docs/RESULTS.md	active-user-facing	212	removed or rewritten in Stage58
docs/RT204_OPERATOR_SUPPORT.md	active-user-facing	19	removed or rewritten in Stage58
docs/RT204_QDQ_CONV_VENDOR_BUG_REPORT.md	active-user-facing	14	removed or rewritten in Stage58
docs/RT204_QDQ_CONV_VENDOR_REPRO_AND_QOPERATOR_GATE.md	active-user-facing	8	removed or rewritten in Stage58
docs/RUNTIME_204_NOTES.md	active-user-facing	10	removed or rewritten in Stage58
docs/TROUBLESHOOTING.md	active-user-facing	45	removed or rewritten in Stage58
docs/VENDOR_REPORT_PACKETS.md	active-user-facing	5	removed or rewritten in Stage58
docs/XSLIM_FP32_FP16_EFFECT_MATRIX.md	active-user-facing	14	removed or rewritten in Stage58
docs/XSlim_INT8_EVALUATION.md	active-user-facing	12	removed or rewritten in Stage58
docs/XSlim_INT8_STATUS.md	active-user-facing	5	removed or rewritten in Stage58
docs/YOLO26_FP16_STATUS.md	active-user-facing	6	removed or rewritten in Stage58
docs/YOLO26_FP32_BASELINE.md	active-user-facing	18	removed or rewritten in Stage58
docs/YOLO26_INT8_RT204_FORENSICS.md	active-user-facing	12	removed or rewritten in Stage58
docs/YOLO26_INT8_STATUS.md	active-user-facing	19	removed or rewritten in Stage58
docs/YOLO26_ORACLE_RESULTS.md	active-user-facing	1	removed or rewritten in Stage58
docs/YOLO26_QDQ_RT204_BLOCKER_MINIMIZATION.md	active-user-facing	19	removed or rewritten in Stage58
docs/YOLO26_VS_YOLO11_BASELINE.md	active-user-facing	29	removed or rewritten in Stage58
include/banana_demo/infer/detector.h	active-build-runtime	5	removed or rewritten in Stage58
models/README.md	active-user-facing	1	removed or rewritten in Stage58
release/DEMO_COMMANDS.md	active-user-facing	10	removed or rewritten in Stage58
release/FPS_SUMMARY.md	active-user-facing	43	removed or rewritten in Stage58
release/HANDOFF_NOTES.md	active-user-facing	3	removed or rewritten in Stage58
release/KNOWN_LIMITATIONS.md	active-user-facing	7	removed or rewritten in Stage58
release/MODEL_MANIFEST.md	active-user-facing	4	removed or rewritten in Stage58
