field	value	evidence	status
capture_utc	2026-07-21T09:19:44Z	shared_log_run_identity	captured
board_host	bf3	board_preflight	captured
board_os	Bianbu_2.2.1	/etc/os-release	captured
kernel	Linux_6.6.63_#2.2.7.2_riscv64	uname_-a	captured
boot_id	0a0691d1-7502-44c3-903b-444dba83c1d9	/proc/sys/kernel/random/boot_id	captured
root_mount	/dev/mmcblk2p6_ext4_rw_noatime	findmnt_-T_/	unchanged_control
data_mount	/dev/nvme0n1p1_ext4_rw_noatime	findmnt_-T_/data	selected_stage_storage
cpu_governor	performance	cpu0_cpufreq/scaling_governor	captured
cpu_max_khz	1600000	cpu0_cpufreq/scaling_max_freq	captured
workqueue_cpumask	ff	/sys/devices/virtual/workqueue/cpumask	captured
o2_snapshot	absent	o2-system-profile.sh_status	clean
o2_cgroup	absent	o2-system-profile.sh_status	clean
camera_profile	inactive	camera-system-profile.sh_status	clean
camera_xhci_irq	89_xhci-hcd:usb2_affinity_0-7	camera-system-profile.sh_status	captured
frozen_local_source_head	175c1d939cc93fba0e730dba3f1281704e8f25b9	refs/heads/yolo26-custom-int8-engine	exact
frozen_github_source_head	175c1d939cc93fba0e730dba3f1281704e8f25b9	git_ls-remote_github	exact
frozen_gitlab_source_head	175c1d939cc93fba0e730dba3f1281704e8f25b9	git_ls-remote_gitlab-rd	exact
