artifact	path	bytes	sha256	expected_sha256	status
a1_deployable	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/candidates/quantization/A1/run1/output/xslim_dev_001a_a1_split_s8_qdq.onnx	2939171	8fad9fa0e385f58da281d963c5e18b010c80c402dcbeed0b46e3ca3065d010f3	8fad9fa0e385f58da281d963c5e18b010c80c402dcbeed0b46e3ca3065d010f3	pass
a1_inference	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/candidates/postprocess/A1/models/stage65b_r1_a1.inference.onnx	2762851	f7c5345f68cf79a5c3748274239a14cdaa59f77eac0425f7771694febaa24632	f7c5345f68cf79a5c3748274239a14cdaa59f77eac0425f7771694febaa24632	pass
a1_tail	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/candidates/postprocess/A1/models/stage65b_r1_a1.postprocess.onnx	176243	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	pass
a1_range_manifest	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/candidates/quantization/A1/run1/range-policy-manifest.json	12441	e9ce9a1e71005d60ad18213d8110fbf51d4ab9ceb8509d9786989685aa0f7e6f	e9ce9a1e71005d60ad18213d8110fbf51d4ab9ceb8509d9786989685aa0f7e6f	pass
a1_h500_predictions	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/candidates/h500/A1/predictions.json	6745065	aae66e9e98c2ee4b10aff3385a5057da834680ff0ac8aba9e93a0baf56a4b4bf	aae66e9e98c2ee4b10aff3385a5057da834680ff0ac8aba9e93a0baf56a4b4bf	pass
a1_val_predictions	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/candidates/full-val/A1/predictions.json	67011898	fdae3c397ff82b005b3c0f507496392dde381fed2aaa0f5d18f03ea35c7b2df9	fdae3c397ff82b005b3c0f507496392dde381fed2aaa0f5d18f03ea35c7b2df9	pass
xslim_dev_wheel	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/dist/final/xslim-2.1.2+riscy.2.dev1-py3-none-any.whl	354093	c31afd3a0f1479e55e242d162b25a203e4511e7ea6a8c3e71eb3232dc92de6b8	c31afd3a0f1479e55e242d162b25a203e4511e7ea6a8c3e71eb3232dc92de6b8	pass
b2_deployable	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B2/run1/output/stage65b_r1_b2_split_s8_qdq.onnx	2939171	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	pass
b2_inference	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/postprocess/B2/candidate-gate/B2/models/stage65b_r1_b2.inference.onnx	2762851	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	pass
common_tail	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/postprocess/B2/candidate-gate/B2/models/stage65b_r1_b2.postprocess.onnx	176243	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	pass
